Number,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active cases,Serious_Critical,Total Cases Per 1m Pop,Deaths Per 1m Pop,Total Tests,Tests Per 1m Pop,Population
1,USA,"106,613,321","1,809","1,159,697",35,"104,533,271","920,353","1,392","318,434","3,464","1,176,758,558","3,514,755","334,805,269"
2,India,"44,924,811",,"531,424",,"44,335,977","57,410",N/A,"31,938",378,"925,077,322","657,654","1,406,631,776"
3,France,"39,974,426","6,609","166,425",,"39,669,392","138,609",869,"609,510","2,538","271,490,188","4,139,547","65,584,518"
4,Germany,"38,400,766",,"172,882",,"38,189,800","38,084",N/A,"457,786","2,061","122,332,384","1,458,359","83,883,596"
5,Brazil,"37,449,418",,"701,494",,"36,249,161","498,763",N/A,"173,897","3,257","63,776,166","296,146","215,353,593"
6,Japan,"33,689,542","11,764","74,467",24,"21,725,273","11,889,802",48,"268,261",593,"99,912,333","795,576","125,584,838"
7,S. Korea,"31,129,070","14,284","34,460",11,"30,879,606","215,004",153,"606,451",671,"15,804,065","307,892","51,329,899"
8,Italy,"25,765,219",,"189,582",,"25,439,463","136,174",104,"427,548","3,146","271,116,017","4,498,897","60,262,770"
9,UK,"24,555,629",,"221,943",,"24,305,452","28,234",N/A,"358,487","3,240","522,526,476","7,628,357","68,497,907"
10,Russia,"22,833,330","6,503","398,208",33,"22,229,208","205,914",N/A,"156,601","2,731","273,400,000","1,875,095","145,805,947"
11,Turkey,"17,232,066",,"102,174",,N/A,N/A,,"201,399","1,194","162,743,369","1,902,052","85,561,976"
12,Spain,"13,825,052",,"120,715",,"13,665,628","38,709",231,"295,918","2,584","471,036,328","10,082,298","46,719,142"
13,Vietnam,"11,554,875","2,958","43,188",,"10,619,813","891,874",85,"116,771",436,"85,826,548","867,342","98,953,541"
14,Australia,"11,411,267",,"20,154",,"11,342,700","48,413",61,"437,737",773,"78,835,048","3,024,116","26,068,792"
17,Netherlands,"8,610,372",,"22,992",,"8,585,514","1,866",53,"500,270","1,336","25,984,435","1,509,718","17,211,447"
18,Iran,"7,606,689",,"146,005",,"7,342,490","118,194",407,"88,426","1,697","55,353,767","643,478","86,022,837"
19,Mexico,"7,579,201",,"333,802",,"6,825,496","419,903",N/A,"57,609","2,537","19,903,879","151,288","131,562,772"
20,Indonesia,"6,769,005","1,879","161,221",17,"6,596,655","11,129",N/A,"24,250",578,"114,158,919","408,975","279,134,505"
21,Poland,"6,513,264",342,"119,546",6,"5,335,940","1,057,778",696,"172,583","3,168","38,655,786","1,024,271","37,739,785"
22,Colombia,"6,364,014",,"142,706",,"6,186,783","34,525",342,"123,542","2,770","36,951,507","717,327","51,512,762"
23,Austria,"6,063,303",650,"22,355",,"6,029,345","11,603",55,"668,743","2,466","211,273,524","23,302,116","9,066,710"
24,Greece,"5,999,934",,"36,711",,"5,945,095","18,128",115,"581,578","3,558","102,228,365","9,909,078","10,316,637"
25,Portugal,"5,580,792",,"26,550",,"5,548,480","5,762",61,"550,343","2,618","46,082,209","4,544,341","10,140,570"
26,Ukraine,"5,502,019",,"111,912",,"5,373,024","17,083",,"127,385","2,591","32,603,805","754,855","43,192,122"
27,Chile,"5,283,280",392,"64,497",,"5,217,926",857,57,"274,453","3,350","49,362,969","2,564,284","19,250,195"
28,Malaysia,"5,066,877",,"37,011",,"5,015,705","14,161",14,"152,704","1,115","68,344,917","2,059,756","33,181,072"
29,Israel,"4,821,234",271,"12,484",7,"4,798,473","10,277",21,"516,967","1,339","41,373,364","4,436,346","9,326,000"
30,Belgium,"4,790,564",,"34,188",,"4,738,746","17,630",43,"410,563","2,930","36,997,339","3,170,763","11,668,278"
32,Thailand,"4,730,490",,"33,947",,"4,692,636","3,907",N/A,"67,503",484,"17,270,775","246,450","70,078,203"
33,Canada,"4,641,301",,"52,247",,"4,575,934","13,120",99,"120,904","1,361","66,343,123","1,728,207","38,388,419"
34,Czechia,"4,640,019",140,"42,760",1,"4,593,938","3,321",13,"432,161","3,983","57,173,927","5,325,051","10,736,784"
35,Peru,"4,500,578",,"220,104",,"4,276,792","3,682",27,"133,611","6,534","38,521,551","1,143,609","33,684,208"
36,Switzerland,"4,401,379",,"14,452",,"4,383,180","3,747",39,"501,660","1,647","23,833,472","2,716,487","8,773,637"
37,Philippines,"4,090,996",781,"66,444",,"4,019,592","4,960",162,"36,362",591,"34,996,447","311,055","112,508,994"
38,South Africa,"4,076,463",,"102,595",,"3,912,506","61,362",192,"67,095","1,689","26,795,090","441,027","60,756,135"
39,Romania,"3,387,788",,"68,047",,"3,312,844","6,897",120,"178,011","3,576","27,242,332","1,431,446","19,031,335"
40,Denmark,"3,180,390",64,"8,537",7,"3,170,851","1,002",19,"545,059","1,463","129,264,242","22,153,445","5,834,950"
41,Hong Kong,"2,889,671",389,"13,522",3,"2,870,850","5,299",28,"380,005","1,778","76,127,725","10,011,143","7,604,299"
42,Sweden,"2,706,137",,"24,087",,"2,678,039","4,011",8,"264,815","2,357","19,500,873","1,908,301","10,218,971"
43,Serbia,"2,533,669",458,"18,018",1,"2,505,908","9,743",12,"292,808","2,082","12,777,907","1,476,700","8,653,016"
44,Iraq,"2,465,545",,"25,375",,"2,439,497",673,21,"58,474",602,"19,544,451","463,523","42,164,965"
45,Singapore,"2,340,779",,"1,727",,"2,149,583","189,469",2,"393,835",291,"24,756,666","4,165,302","5,943,546"
46,New Zealand,"2,313,064",,"4,119",,"2,297,967","10,978",,"472,227",841,"7,768,604","1,586,011","4,898,203"
47,Hungary,"2,201,355",,"48,846",,"2,148,647","3,862",13,"229,158","5,085","11,394,556","1,186,160","9,606,259"
48,Bangladesh,"2,038,174",,"29,446",,"1,998,448","10,280",N/A,"12,140",175,"15,254,399","90,862","167,885,689"
49,Slovakia,"1,866,312",,"21,167",,"1,844,727",418,22,"341,803","3,877","7,425,402","1,359,916","5,460,193"
50,Georgia,"1,838,936",,"17,049",,"1,776,548","45,339",,"463,355","4,296","16,920,079","4,263,340","3,968,738"
51,Jordan,"1,746,997",,"14,122",,"1,731,007","1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869"
52,Ireland,"1,709,705",,"8,824",,"1,698,456","2,425",19,"340,565","1,758","13,083,449","2,606,161","5,020,199"
53,Pakistan,"1,580,624",21,"30,656",,"1,538,689","11,279",10,"6,888",134,"30,571,377","133,215","229,488,994"
54,Norway,"1,482,988",,"5,213",,"1,476,547","1,228",20,"269,078",946,"11,002,430","1,996,315","5,511,370"
55,Finland,"1,473,603",,"9,308",,"1,458,560","5,735",21,"265,277","1,676","12,069,254","2,172,699","5,554,960"
56,Kazakhstan,"1,411,436",66,"13,848",,"1,383,020","14,568",24,"73,493",721,"11,575,012","602,707","19,205,043"
57,Slovenia,"1,343,174",47,"7,100",,"1,328,006","8,068",8,"646,368","3,417","2,847,701","1,370,382","2,078,034"
58,Lithuania,"1,318,293",107,"9,664",1,"1,306,194","2,435",3,"495,281","3,631","10,435,867","3,920,741","2,661,708"
59,Bulgaria,"1,303,983",,"38,325",,"1,262,533","3,125",40,"190,513","5,599","11,175,468","1,632,743","6,844,597"
60,Morocco,"1,273,130",,"16,297",,"1,256,151",682,3,"33,705",431,"13,001,033","344,191","37,772,756"
61,Croatia,"1,272,377",,"18,155",,"1,253,558",664,4,"313,448","4,472","5,575,343","1,373,479","4,059,286"
62,Guatemala,"1,247,933",,"20,189",,"1,226,715","1,029",5,"67,151","1,086","7,202,934","387,587","18,584,039"
63,Lebanon,"1,236,522",169,"10,899",2,"1,087,587","138,036",74,"184,974","1,630","4,795,578","717,380","6,684,849"
64,Costa Rica,"1,227,546",,"9,339",,"860,711","357,496",52,"236,870","1,802","4,659,757","899,158","5,182,354"
65,Bolivia,"1,197,022",,"22,377",,"1,166,014","8,631",220,"99,813","1,866","2,705,422","225,590","11,992,656"
