Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Philippines,PHL,"Population, total",SP.POP.TOTL,61558898,77958223,98032317,99700107,101325201,103031365,104875266,106738501,108568836,110380804,112190977,113880328
Philippines,PHL,Population growth (annual %),SP.POP.GROW,2.35297110942521,2.21679406368577,1.74352515093364,1.68695605708093,1.6168406041295,1.66983002094225,1.77382446993613,1.76102262001195,1.70024776555145,1.65518369204871,1.62663290469171,1.49455716704944
Philippines,PHL,Surface area (sq. km),AG.SRF.TOTL.K2,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,..
Philippines,PHL,Population density (people per sq. km of land area),EN.POP.DNST,206.455706476171,261.455622631385,328.779947680853,334.373367542006,339.82359392293,345.545712177617,351.729771606801,357.978673240098,364.117235134319,370.194197940772,376.265140691552,..
Philippines,PHL,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,33,25.2,..,..,23.5,..,..,16.7,..,..,..
Philippines,PHL,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,14.5,10.9,..,..,6.5,..,..,3,..,..,3
Philippines,PHL,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,51230062296.4083,91937667450.31,278222987642.26,312617279213.782,334246854412.22,345550500522.631,357904437462.893,371432805705.591,395267705195.889,416217372548.185,375814703536.328,404238056070.501
Philippines,PHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,830,1180,2840,3140,3300,3350,3410,3480,3640,3770,3350,3550
Philippines,PHL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,161492248659.06,293212948181.82,679680535112.737,730910824409.18,780292861532.848,817730803200.056,887291422584.605,948319217869.219,1029094095881.68,1105082730007.55,989559325663.412,1048915224171.64
Philippines,PHL,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,2620,3760,6930,7330,7700,7940,8460,8880,9480,10010,8820,9210
Philippines,PHL,Income share held by lowest 20%,SI.DST.FRST.20,..,5.1,5.2,..,..,5.6,..,..,6.2,..,..,6.5
Philippines,PHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.909,69.413,70.881,70.835,71.151,71.268,71.387,71.516,71.689,71.865,72.119,..
Philippines,PHL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.352,3.714,3.127,3.096,3.031,2.951,2.892,2.865,2.831,2.805,2.777,..
Philippines,PHL,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,55.165,52.43,57.22,57.128,55.16,52.717,50.849,50.202,50.112,49.619,49.156,..
Philippines,PHL,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,47,..,55.1,..,..,..,54.3,..,..,..,..
Philippines,PHL,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,58,..,72.8,..,..,..,84.4,..,..,..,..
Philippines,PHL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,56.6,37.7,31,30.6,30.2,29.8,29.3,28.7,28,27.3,26.5,25.7
Philippines,PHL,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,29.9,..,..,19.9,..,21.4,..,..,19.1,19,..,..
Philippines,PHL,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,85,78,84,83,81,80,80,78,77,75,72,57
Philippines,PHL,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,89.3403015136719,..,..,..,98.5869064331055,..,103.134613037109,108.677528381348,115.436897277832,105.755264282227,102.814605712891,94.8242874145508
Philippines,PHL,"School enrollment, primary (% gross)",SE.PRM.ENRR,110.17366027832,109.436470031738,..,..,113.053520202637,112.250930786133,110.173927307129,107.509765625,101.86222076416,99.1477203369141,98.2735900878906,92.4011764526367
Philippines,PHL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,72.0137710571289,..,..,..,86.9658584594727,87.8510589599609,88.455810546875,86.1629104614258,84.0453872680664,89.765266418457,91.9879989624023,90.4402389526367
Philippines,PHL,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.99769002199173,..,..,..,1.01531004905701,1.00727999210358,1.00882005691528,1.01848995685577,1.02580893039703,1.02519476413727,1.0238698720932,1.02612137794495
Philippines,PHL,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2
